,0
120,"https://openalex.org/W2959298326,https://openalex.org/W2946016901"
121,"https://openalex.org/W2972103767,https://openalex.org/W2968429835"
122,"https://openalex.org/W2997699993,https://openalex.org/W2910801783"
123,https://openalex.org/W3086498997
124,"https://openalex.org/W3003367883,https://openalex.org/W2955198718"
125,"https://openalex.org/W3027574561,https://openalex.org/W2963255299,https://openalex.org/W2970655940"
126,https://openalex.org/W3003386376
127,"https://openalex.org/W3042156931,https://openalex.org/W3042156931"
128,"https://openalex.org/W3044511373,https://openalex.org/W3044511373"
129,"https://openalex.org/W3088538572,https://openalex.org/W3099909056,https://openalex.org/W3100968477"
130,"https://openalex.org/W3129294676,https://openalex.org/W3005552379"
131,"https://openalex.org/W2994881778,https://openalex.org/W2969288979"
132,"https://openalex.org/W3039446713,https://openalex.org/W2946287558,https://openalex.org/W2987739430,https://openalex.org/W3007188039"
133,"https://openalex.org/W3017164541,https://openalex.org/W2907976315,https://openalex.org/W2938056302,https://openalex.org/W2946882019"
134,"https://openalex.org/W3044133127,https://openalex.org/W2914124298,https://openalex.org/W3008693432,https://openalex.org/W3044133127"
135,"https://openalex.org/W3086522063,https://openalex.org/W2970655940,https://openalex.org/W2988643701,https://openalex.org/W2996012742,https://openalex.org/W3000178821,https://openalex.org/W3009844985"
136,"https://openalex.org/W3112750002,https://openalex.org/W2908893700,https://openalex.org/W3009488696,https://openalex.org/W3011282527"
137,"https://openalex.org/W3038687758,https://openalex.org/W2972677741,https://openalex.org/W2995667716"
138,"https://openalex.org/W3213797014,https://openalex.org/W2924744810,https://openalex.org/W2939776230,https://openalex.org/W2955549366,https://openalex.org/W2981170861,https://openalex.org/W2998465363,https://openalex.org/W3041829434,https://openalex.org/W3204743793"
139,"https://openalex.org/W3012731328,https://openalex.org/W3012731328"
140,"https://openalex.org/W2995975878,https://openalex.org/W2937370581"
141,"https://openalex.org/W3128150297,https://openalex.org/W2946287558,https://openalex.org/W2969288979,https://openalex.org/W2994881778,https://openalex.org/W3016947361"
142,"https://openalex.org/W3158152024,https://openalex.org/W2963255299"
